[2026-05-14 15:00:00.083] [37016433] [INFO] [L3701643301T20260514145959925R18853] [数据交互|发送名单服务数据] |车型库信息校验, 调用车型信息查询接口, 获取车型信息, 响应内容: {"msg":"查询结果为空","code":201}
[2026-05-14 15:00:00.084] [37016433] [ERROR] [L3701643301T20260514145959925R18853] [数据交互|收到名单服务数据] |车型库信息校验, 调用车型信息查询接口, 获取车型信息失败
[2026-05-14 15:00:00.084] [37016433] [INFO] [L3701643301T20260514145959925R18853] [4201016200838242] [处理流程|有效性判断] |豫ND91387_4校验完成---
[2026-05-14 15:00:00.084] [37016433] [INFO] [L3701643301T20260514145959925R18853] [4201016200838242] [处理流程|有效性判断] |入口交易请求--调用校验结束，校验响应结果: {"validFlag":true}
[2026-05-14 15:00:00.084] [37016433] [INFO] [L3701643301T20260514145959925R18853] [数据交互|发送名单服务数据] |节假日免费时段参数查询, 请求内容: {"filename":"FREE_TIME_LIST_REQ_3701643301_20260514150000084.json","auth":"cvicse","bizContent":"{\"msgId\":\"37016433012026051415200661\"}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T15:00:00"}
[2026-05-14 15:00:00.087] [37016433] [INFO] [L3701643301T20260514145959925R18853] [数据交互|收到名单服务数据] |节假日免费时段参数查询, 响应内容: {"filename":"FREE_TIME_LIST_RES_3701643301_20260514150000087.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"freeTime\":[{\"spare4\":\"81\",\"spare3\":\"1\",\"beginTime\":\"2026-02-15T00:00:00\",\"endTime\":\"2026-02-24T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"春节\"},{\"spare4\":\"82\",\"spare3\":\"1\",\"beginTime\":\"2026-04-04T00:00:00\",\"endTime\":\"2026-04-07T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"清明节\"},{\"spare4\":\"83\",\"spare3\":\"1\",\"beginTime\":\"2026-05-01T00:00:00\",\"endTime\":\"2026-05-06T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"劳动节\"},{\"spare4\":\"84\",\"spare3\":\"1\",\"beginTime\":\"2026-10-01T00:00:00\",\"endTime\":\"2026-10-08T00:00:00\",\"spare2\":\"1000000000000000000000\",\"spare1\":\"国庆节\"}],\"receiveTime\":\"2026-05-14T15:00:00.087\",\"msgId\":\"37016433012026051415200661\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 15:00:00.088] [37016433] [INFO] [L3701643301T20260514145959925R18853] [4201016200838242] [数据交互|发送计费服务数据] |调用入口计费服务开始, 计费请求: {"filename":"BASIC_FEE_ENCALC_REQ_3701643301_20260514150000088.json","auth":"cvicse","bizContent":"{\"cPUNetID\":\"0\",\"cPUcardType\":0,\"curPassTime\":\"2026-05-14T14:59:59\",\"curTollGantry\":\"G001537005000910010\",\"enAxleCount\":2,\"enTollStationHex\":\"37016433\",\"enVehicleType\":1,\"issuerId\":\"0\",\"laneType\":1,\"mediaType\":2,\"msgId\":\"37016433012026051414200657\",\"obuPermittedTowWeight\":0,\"spare4\":\"01\",\"totalWeight\":0,\"vehicleClass\":0,\"vehicleId\":\"豫ND91387_4\",\"vehicleSign\":255,\"vehicleUserType\":0}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T15:00:00"}
[2026-05-14 15:00:00.095] [37016433] [INFO] [L3701643301T20260514145959925R18853] [4201016200838242] [数据交互|收到计费服务数据] |调用入口计费服务结束，计费响应: {"statusCode":0,"errorMsg":"响应成功","sign":"NONE","bizContent":"{\"calCostTime\":1,\"code\":\"0\",\"codeInfo\":\"计费成功\",\"discountFee\":0,\"discountFeeGroup\":\"0\",\"feeCalcSpecials\":\"0\",\"feeGroup\":\"0\",\"feeInfo1\":\"G:G001537005000910010|T:2026-05-14T14:59:59|ES:37016433|ET:2026-05-14T14:59:59|LG:000000|LT:2026-05-14T14:59:59|TT:2|PH:D4A54E443931333837000000|PC:4|VT:1|EVT:1|EAC:2|TW:0|VSF:255|BH:|PSL:0|RSL:0|VC:0|MV:20241216006|PV:20260509002|vc:0|vt:1|ac:2|ad:0|R:0,201,0=,0:0 ECODE:0x40000\",\"feeInfo2\":\"0\",\"feeInfo3\":\"3C730C\",\"feeLogMsg\":null,\"feeMileage\":0,\"feeProvSumLocal\":0,\"feeSpare1\":0,\"feeSpare2\":0,\"feeSpare3\":\"\",\"feeVehicleType\":1,\"fitProvFlag\":0,\"gantryPassHexFit\":\"\",\"gantryPassNumFit\":0,\"msgId\":\"37016433012026051414200657\",\"paramVersion\":\"3720260509002\",\"pathFitFlag\":0,\"payFee\":0,\"payFeeGroup\":\"0\",\"provMinFee\":\"\",\"rateVersion\":\"3720260509002|3720260509002\",\"realFee\":0,\"receiveTime\":\"2026-05-14T15:00:00\",\"spcRateVersion\":\"000000\",\"tollIntervalIDs\":\"G001537005000910\"}","filename":"BASIC_FEE_ENCALC_RES_3701643301_20260514150000094.json"}
[2026-05-14 15:00:00.097] [37016433] [INFO] [L3701643301T20260514145959925R18853] [4201016200838242] [处理流程|交易结果] |入口发卡--交易完成
[2026-05-14 15:00:00.097] [37016433] [INFO] [L3701643301T20260514145959925R18853] [数据交互|发送MTC前端服务数据] |MTC入口交易响应: {"sign":"cvicse","bizContent":"{\"cpcEF04\":\"37010000000000000000006A0572EF3C730C6A0572EF00FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF\",\"cpcEF02\":\"01010000000000000000006A0572EF3C730C6A0572EF000000000000013C730CFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF\",\"cpcEF01\":\"01D4A54E4439313338370000000437016433016A0572EF010100C400D2050200000000004650FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF\",\"code\":0,\"cpcCardId\":\"4201016200838242\",\"codeInfo\":\"操作成功\",\"fee\":0,\"msgId\":\"37016433012026051414002858\",\"spare5\":\"100\",\"holidayState\":0,\"spare1\":\"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000\",\"vId\":\"3701643301202605141459591390\",\"specialType\":\"\",\"mediaNo\":\"4201016200838242\",\"enTime\":\"2026-05-14T14:59:59\",\"tradeId\":\"G001537005003010100102026051414595971\",\"revceiveTime\":\"2026-05-14T14:59:59\"}","statusCode":0,"errorMsg":"入口交易完成"}
[2026-05-14 15:00:01.264] [37016433] [INFO] [L3701643302T20260514150001264R18854] [数据交互|收到MTC前端服务数据] |MTC入口交易请求: {"filename":"LS_MTC_ENTRY_REQ_3701643302_20260514150000750.json","bizContent":"{\"axleCount\":2,\"axleInfo\":\"\",\"axleType\":\"\",\"certNo\":\"\",\"costTime\":0,\"cpcMFEF01\":\"b9e3cef7450100014501016300011114012019120820291208ffffffffff\",\"cpcMFEF02\":\"6401ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\",\"identifyVehicleId\":\"\",\"laneType\":1,\"limitWeight\":0,\"mediaNo\":\"4501016300011114\",\"mediaType\":2,\"msgId\":\"37016433022026051415006119\",\"noCPCTransFlag\":0,\"openId\":\"\",\"orderId\":\"\",\"picId\":\"\",\"plateColor\":0,\"plateNum\":\"鲁BU203R\",\"shiftNo\":5,\"spare1\":\"\",\"spare2\":\"\",\"spare3\":\"\",\"spare4\":1,\"spare5\":\"\",\"specialSwitch\":\"\",\"specialType\":\"\",\"specialValue\":\"\",\"station\":0,\"tollLaneHex\":\"3701643302\",\"totalWeight\":0,\"userId\":\"500302020\",\"vId\":\"3701643302202605141500002981\",\"vehicleClass\":0,\"vehicleType\":1,\"weightId\":\"\"}\n","sign":"cvicse","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T15:00:00"}
